start_date,neparea_km2,neparea_perc,eezarea_km2,eezarea_perc,nsbarea_km2,nsbarea_perc,ssbarea_km2,ssbarea_perc,oparea_km2,oparea_perc
2023-03-13,5577290,27.1,0,0,0,0,0,0,0,0
2023-03-14,5926750,28.8,0,0,0,0,0,0,0,0
2023-03-15,6284390,30.5,0,0,0,0,0,0,0,0
2023-03-16,6647830,32.3,0,0,0,0,0,0,0,0
2023-03-17,6578010,31.9,0,0,0,0,0,0,0,0
2023-03-18,6519310,31.7,0,0,0,0,0,0,0,0
2023-03-19,6148260,29.9,0,0,0,0,0,0,0,0
2023-03-20,6126700,29.8,0,0,0,0,0,0,0,0
2023-03-21,5580830,27.1,0,0,0,0,0,0,0,0
2023-03-22,4918620,23.9,0,0,0,0,0,0,0,0
2023-03-23,4823020,23.4,0,0,0,0,0,0,0,0
2023-03-24,4905030,23.8,0,0,0,0,0,0,0,0
2023-03-25,5031030,24.4,0,0,0,0,0,0,0,0
2023-03-26,5394650,26.2,0,0,0,0,0,0,0,0
2023-03-27,5755730,28,0,0,0,0,0,0,0,0
2023-03-28,5748820,27.9,0,0,0,0,0,0,0,0
2023-03-29,5591270,27.2,0,0,0,0,0,0,0,0
2023-03-30,5712880,27.7,0,0,0,0,0,0,0,0
2023-03-31,5984010,29.1,0,0,0,0,0,0,0,0
2023-04-01,6249520,30.4,0,0,0,0,0,0,0,0
2023-04-02,6363200,30.9,0,0,0,0,0,0,0,0
2023-04-03,6469890,31.4,0,0,0,0,0,0,0,0
2023-04-04,6455830,31.4,0,0,0,0,0,0,0,0
2023-04-05,6566180,31.9,0,0,0,0,0,0,0,0
2023-04-06,6853310,33.3,0,0,0,0,0,0,0,0
2023-04-07,6992250,34,0,0,0,0,0,0,0,0
2023-04-08,7372560,35.8,0,0,0,0,0,0,0,0
2023-04-09,7356320,35.7,0,0,0,0,0,0,0,0
2023-04-10,7104080,34.5,0,0,0,0,0,0,0,0
2023-04-11,6338000,30.8,0,0,0,0,0,0,0,0
2023-04-12,5710890,27.7,0,0,0,0,0,0,0,0
2023-04-13,5572370,27.1,0,0,0,0,0,0,0,0
2023-04-14,5574580,27.1,0,0,0,0,0,0,0,0
2023-04-15,5623170,27.3,0,0,0,0,0,0,0,0
2023-04-16,5749790,27.9,0,0,0,0,0,0,0,0
2023-04-17,5873520,28.5,0,0,0,0,0,0,0,0
2023-04-18,5850430,28.4,0,0,0,0,0,0,0,0
2023-04-19,5852890,28.4,0,0,0,0,0,0,0,0
2023-04-20,5875140,28.5,0,0,0,0,0,0,0,0
2023-04-21,6176090,30,0,0,0,0,0,0,0,0
2023-04-22,6364220,30.9,0,0,0,0,0,0,0,0
2023-04-23,6551240,31.8,0,0,0,0,0,0,0,0
2023-04-24,6317010,30.7,0,0,0,0,0,0,0,0
2023-04-25,6106420,29.7,0,0,0,0,0,0,0,0
2023-04-26,6116460,29.7,0,0,0,0,0,0,0,0
2023-04-27,5942330,28.9,0,0,0,0,0,0,0,0
2023-04-28,5651110,27.4,0,0,0,0,0,0,0,0
2023-04-29,5485530,26.6,0,0,0,0,0,0,0,0
2023-04-30,5298100,25.7,0,0,0,0,0,0,0,0
2023-05-01,5199440,25.3,0,0,0,0,0,0,0,0
2023-05-02,5218650,25.3,0,0,0,0,0,0,0,0
2023-05-03,5307560,25.8,0,0,0,0,0,0,0,0
2023-05-04,5293600,25.7,0,0,0,0,0,0,0,0
2023-05-05,5230040,25.4,0,0,0,0,0,0,0,0
2023-05-06,5179840,25.2,0,0,0,0,0,0,0,0
2023-05-07,5141570,25,0,0,0,0,0,0,0,0
2023-05-08,5025960,24.4,920,0.2,0,0,0,0,920,0.3
2023-05-09,5309110,25.8,1850,0.4,0,0,0,0,1850,0.6
2023-05-10,5362820,26,0,0,0,0,0,0,0,0
2023-05-11,5243950,25.5,0,0,0,0,0,0,0,0
2023-05-12,4651160,22.6,5600,1.3,0,0,1550,5.6,1560,0.5
2023-05-13,4286180,20.8,29590,6.7,0,0,16300,59.4,7770,2.5
2023-05-14,4374930,21.2,56430,12.8,2480,2.7,24360,88.8,24580,7.8
2023-05-15,4282540,20.8,98340,22.4,24270,26.2,24870,90.7,43700,13.9
2023-05-16,4072680,19.8,113960,25.9,32840,35.5,24870,90.7,50740,16.2
2023-05-17,3944960,19.2,50280,11.4,17210,18.6,19270,70.3,8280,2.6
2023-05-18,3705560,18,25350,5.8,11100,12,1530,5.6,7210,2.3
2023-05-19,3907320,19,46750,10.6,18900,20.4,7080,25.8,15250,4.9
2023-05-20,4214040,20.5,52830,12,13460,14.5,7090,25.8,26770,8.5
2023-05-21,4074480,19.8,60860,13.8,10410,11.2,7080,25.8,37870,12.1
2023-05-22,3803520,18.5,53410,12.2,1890,2,500,1.8,45500,14.5
2023-05-23,3972840,19.3,34170,7.8,1360,1.5,0,0,27800,8.9
2023-05-24,3886520,18.9,54060,12.3,4110,4.4,0,0,45420,14.5
2023-05-25,3623590,17.6,88030,20,6970,7.5,0,0,76540,24.4
2023-05-26,3557250,17.3,78510,17.9,2270,2.5,0,0,71210,22.7
2023-05-27,3660940,17.8,66240,15.1,2270,2.5,0,0,59440,19
2023-05-28,3689090,17.9,46240,10.5,460,0.5,0,0,42270,13.5
2023-05-29,3723500,18.1,73290,16.7,0,0,0,0,69250,22.1
2023-05-30,3736850,18.2,55690,12.7,0,0,0,0,52660,16.8
2023-05-31,3387720,16.5,18370,4.2,0,0,0,0,17360,5.5
2023-06-01,3013720,14.6,3910,0.9,0,0,0,0,3410,1.1
2023-06-02,2906650,14.1,3430,0.8,0,0,0,0,2930,0.9
2023-06-03,2810850,13.7,4130,0.9,0,0,0,0,3630,1.2
2023-06-04,2773370,13.5,4900,1.1,0,0,0,0,4900,1.6
2023-06-05,2669570,13,10680,2.4,0,0,0,0,10680,3.4
2023-06-06,2599400,12.6,47880,10.9,0,0,0,0,47880,15.3
2023-06-07,2896150,14.1,84870,19.3,2810,3,0,0,82060,26.2
2023-06-08,2974610,14.4,75800,17.2,1420,1.5,0,0,74380,23.7
2023-06-09,2955780,14.4,107220,24.4,4680,5.1,0,0,102540,32.7
2023-06-10,2794160,13.6,91130,20.7,2810,3,0,0,88330,28.2
2023-06-11,2565120,12.5,56580,12.9,6530,7.1,0,0,50060,16
2023-06-12,2493410,12.1,26470,6,3730,4,0,0,22740,7.3
2023-06-13,2488420,12.1,50730,11.5,470,0.5,0,0,50270,16
2023-06-14,2519150,12.2,57860,13.2,0,0,0,0,57860,18.5
2023-06-15,2650000,12.9,77110,17.5,900,1,0,0,76210,24.3
2023-06-16,2712130,13.2,95210,21.7,0,0,0,0,95210,30.4
2023-06-17,2930190,14.2,13030,3,0,0,0,0,13030,4.2
2023-06-18,2996980,14.6,6660,1.5,0,0,0,0,6660,2.1
2023-06-19,3063020,14.9,7650,1.7,0,0,0,0,7650,2.4
2023-06-20,2952520,14.3,1520,0.3,0,0,0,0,1520,0.5
2023-06-21,3059900,14.9,460,0.1,460,0.5,0,0,0,0
2023-06-22,3196380,15.5,4820,1.1,1850,2,0,0,2980,0.9
2023-06-23,3291870,16,12150,2.8,11680,12.6,0,0,470,0.2
2023-06-24,3273470,15.9,17970,4.1,14460,15.6,0,0,3510,1.1
2023-06-25,3404480,16.5,73260,16.7,16250,17.6,0,0,57010,18.2
2023-06-26,3540890,17.2,145400,33.1,26410,28.5,0,0,119000,38
2023-06-27,3293140,16,138240,31.5,37870,40.9,0,0,100370,32
2023-06-28,3095010,15,107770,24.5,31800,34.3,0,0,75980,24.2
2023-06-29,3760140,18.3,134530,30.6,24990,27,0,0,109560,35
2023-06-30,4289400,20.8,162360,36.9,26520,28.6,0,0,135840,43.3
2023-07-01,4316600,21,137860,31.4,11140,12,0,0,126730,40.4
2023-07-02,4445290,21.6,161760,36.8,10540,11.4,0,0,151220,48.2
2023-07-03,4534130,22,144010,32.8,10500,11.3,0,0,133520,42.6
2023-07-04,4323260,21,35230,8,7760,8.4,0,0,27480,8.8
2023-07-05,4303850,20.9,30560,7,2280,2.5,0,0,28280,9
2023-07-06,4080750,19.8,22310,5.1,2730,3,0,0,19580,6.2
2023-07-07,3854220,18.7,23020,5.2,900,1,0,0,22130,7.1
2023-07-08,3417640,16.6,17650,4,4150,4.5,0,0,13510,4.3
2023-07-09,3319070,16.1,10020,2.3,3750,4.1,0,0,6270,2
2023-07-10,3444460,16.7,6580,1.5,470,0.5,0,0,6110,1.9
2023-07-11,3543640,17.2,40290,9.2,960,1,0,0,39330,12.5
2023-07-12,3649200,17.7,47400,10.8,7080,7.6,0,0,40330,12.9
2023-07-13,3659510,17.8,38760,8.8,12660,13.7,0,0,26110,8.3
2023-07-14,3879580,18.8,35080,8,12570,13.6,0,0,22510,7.2
