"STN_ID","Date","SSTP","lat","lon","source"
"C46303 S. Georgia Strait",2023-01-01,6.559,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-02,5.896,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-03,6.069,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-04,6.68,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-05,6.234,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-06,6.495,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-07,6.467,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-08,6.174,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-09,6.444,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-10,6.716,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-11,6.269,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-12,6.838,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-13,6.992,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-14,6.842,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-15,6.398,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-16,6.92,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-17,7.015,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-18,7.281,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-19,7.289,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-20,6.901,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-21,7.006,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-22,6.681,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-23,6.417,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-24,6.658,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-25,6.603,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-26,6.353,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-27,6.494,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-28,6.644,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-29,6.27,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-30,5.502,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-01-31,5.628,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-01,6.024,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-02,6.313,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-03,6.746,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-04,7.429,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-05,7.278,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-06,7.074,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-07,7.827,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-08,7.495,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-09,7.619,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-10,7.775,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-11,6.821,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-12,6.953,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-13,7.253,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-14,7.241,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-15,6.433,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-16,6.764,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-17,6.484,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-18,6.682,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-19,6.585,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-20,6.824,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-21,6.822,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-22,6.683,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-23,6.59,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-24,6.449,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-25,6.036,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-26,6.463,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-27,6.609,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-02-28,5.85,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-01,5.423,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-02,6.303,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-03,6.472,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-04,6.787,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-05,7.233,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-06,6.822,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-07,7.266,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-08,6.922,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-09,6.851,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-10,6.64,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-11,6.809,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-12,6.908,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-13,6.928,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-14,6.693,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-15,7.02,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-16,6.81,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-17,6.645,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-18,7.231,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-19,7.582,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-20,7.651,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-21,7.923,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-22,8.074,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-23,8.305,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-24,7.718,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-25,7.714,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-26,7.724,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-27,8.144,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-28,8.013,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-29,8.185,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-30,8.583,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-03-31,8.317,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-01,7.974,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-02,8.125,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-03,8.018,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-04,8.544,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-05,8.789,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-06,8.548,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-07,8.254,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-08,8.271,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-09,8.144,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-10,8.217,49.025,-123.43,"ECCC"
"C46303 S. Georgia Strait",2023-04-11,8.211,49.025,-123.43,"ECCC"
