"year","Date","STN_ID","SSTP","lat","lon","source"
1989,1989-01-26,"C46181 Nanakwa Shoal",4.925,53.83,-128.8317,"DFO_MEDS"
1989,1989-01-28,"C46181 Nanakwa Shoal",4.743,53.83,-128.8317,"DFO_MEDS"
1989,1989-01-29,"C46181 Nanakwa Shoal",3.725,53.83,-128.8317,"DFO_MEDS"
1989,1989-01-30,"C46181 Nanakwa Shoal",4.771,53.83,-128.8317,"DFO_MEDS"
1989,1989-01-31,"C46181 Nanakwa Shoal",3.88,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-01,"C46181 Nanakwa Shoal",4.85,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-02,"C46181 Nanakwa Shoal",4.2,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-03,"C46181 Nanakwa Shoal",5.1,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-05,"C46181 Nanakwa Shoal",5.5,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-06,"C46181 Nanakwa Shoal",5.257,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-07,"C46181 Nanakwa Shoal",5.1,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-08,"C46181 Nanakwa Shoal",4.92,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-09,"C46181 Nanakwa Shoal",5.225,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-10,"C46181 Nanakwa Shoal",5.678,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-11,"C46181 Nanakwa Shoal",5.2,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-12,"C46181 Nanakwa Shoal",5.217,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-13,"C46181 Nanakwa Shoal",5.317,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-15,"C46181 Nanakwa Shoal",4.68,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-16,"C46181 Nanakwa Shoal",5.675,53.83,-128.8317,"DFO_MEDS"
1989,1989-02-17,"C46181 Nanakwa Shoal",6.27,53.83,-128.8317,"DFO_MEDS"
