"STN_ID","Date","SSTP","lat","lon","source"
"C46207 E. Dellwood Knolls",1991-03-08,7.171,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-09,7.05,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-10,7.242,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-11,7.208,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-12,7.433,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-13,7.575,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-14,7.5,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-15,7.388,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-16,7.4,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-18,7.55,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-19,7.458,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-20,7.529,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-21,7.513,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-22,7.671,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-23,7.688,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-24,7.63,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-25,7.575,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-26,7.435,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-27,7.396,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-03-28,7.388,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-01,7.652,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-02,7.75,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-03,7.643,50.875,-129.917,"DFO_MEDS"
"C46207 E. Dellwood Knolls",1991-04-04,7.562,50.875,-129.917,"DFO_MEDS"
